SchoolCode,SchoolName,City,StateCode
042502,"FOCUS PERSONAL TRAINING INSTITUTE","NEW YORK",NY
042503,"HAIR ACADEMY SCHOOL OF BARBERING & BEAUT",NEWARK,DE
042504,"FOSBRE ACADEMY OF HAIR DESIGN",OLYMPIA,WA
042505,"NATIONAL PERSONAL TRAINING INSTITUTE","WINTER PARK",FL
042506,"CALIFORNIA INSTITUTE OF ADVANCED MANAGEM",ALHAMBRA,CA
042508,"MISSION BEAUTY INSTITUTE",MISSION,TX
042513,"PACIFIC BIBLE COLLEGE",MEDFORD,OR
042514,"ELIM BIBLE INSTITUTE AND COLLEGE",LIMA,NY
042515,"BETH MEDRASH OF ASBURY PARK",LAKEWOOD,NJ
042517,"HOPE COLLEGE OF ARTS AND SCIENCES","POMPANO BEACH",FL
042520,"YESHIVA GEDOLAH SHAAREI SHMUEL",LAKEWOOD,NJ
042523,"PREMIER BARBER INSTITUTE",NORRISTOWN,PA
042524,"WORLD CLASS ACADEMY OF BEAUTY CAREERS",TALLAHASSEE,FL
042527,"PACIFIC RIM CHRISTIAN UNIVERSITY",HONOLULU,HI
042529,"INTERNATIONAL BEAUTY EDUCATION CENTER","AIRWAY HEIGHTS",WA
042531,"ALLIED HEALTH CAREERS INSTITUTE",MURFREESBORO,TN
042534,"CLOVIS COMMUNITY COLLEGE",FRESNO,CA
042536,"CLAREMONT LINCOLN UNIVERSITY",CLAREMONT,CA
042537,"SACRAMENTO ULTRASOUND INSTITUTE",SACRAMENTO,CA
042540,"PHIPPS ACADEMY OF BARBERING","RICHTON PARK",IL
042542,"INTER AMERICAN UNIVERSITY OF PUERTO RICO","SAN GERMAN",PR
042543,"PETS PLAYGROUND GROOMING SCHOOL","POMPANO BEACH",FL
042544,"ARKANSAS STATE UNIVERSITY-MOUNTAIN HOME","MOUNTAIN HOME",AR
042546,"MEDICAL PREP INSTITUTE OF TAMPA BAY",TAMPA,FL
042549,"CINCINNATI SCHOOL OF BARBERING & HAIR DE",CINCINNATI,OH
042551,"U.S. TRUCK DRIVER TRAINING SCHOOL","STERLING HEIGHTS",MI
042553,"HOSS LEE ACADEMY",ROSEVILLE,CA
042554,"REGAN CAREER INSTITUTE","EL MONTE",CA
042555,"ALABAMA SCHOOL OF NAIL TECHNOLOGY & COSM",JACKSON,AL
042556,"INTERNATIONAL DIVING INSTITUTE","N CHARLESTON",SC
042557,"BOLIVAR TECHNICAL COLLEGE",BOLIVAR,MO
042561,"INDIANA COLLEGE OF SPORTS & MEDICAL MASS",INDIANAPOLIS,IN
042562,"KENNY'S ACADEMY OF BARBERING",INDIANAPOLIS,IN
042564,"SAN BERNARDINO BEAUTY COLLEGE","SAN BERNARDINO",CA
042565,"BALDY VIEW REGIONAL OCCUPATIONAL PROGRAM",ONTARIO,CA
042566,"MAK BEAUTY INSTITUTE",CUMMING,GA
